10.1621/YjauVBA6hX.1,,,,,,,,,,,
,,,,,,,,,,,
ID,Family,Physiological System,Organ,Species,Gene,Percentile,Discovery Rate,GMFC,cPValue,DOI,
1820639,Androgen receptor,ALL,ALL,House Mouse,Atp7a,99.59,0.357142857,1.206337741,5.56386E-07,10.1621/YjauVBA6hX.1,
1818136,Androgen receptor,ALL,ALL,House Mouse,Cry1,99.59,0.357142857,1.1712239,5.56386E-07,10.1621/YjauVBA6hX.1,
1816231,Androgen receptor,ALL,ALL,House Mouse,Jund,99.59,0.357142857,1.223156903,5.56386E-07,10.1621/YjauVBA6hX.1,
1818669,Androgen receptor,ALL,ALL,House Mouse,Ccdc57,99.56,0.391304348,1.16327955,8.39483E-07,10.1621/YjauVBA6hX.1,
1833125,Androgen receptor,ALL,ALL,House Mouse,Cnksr1,99.56,0.391304348,1.223512989,8.39483E-07,10.1621/YjauVBA6hX.1,
1832880,Androgen receptor,ALL,ALL,House Mouse,Map10,99.56,0.391304348,1.176172683,8.39483E-07,10.1621/YjauVBA6hX.1,
1832029,Androgen receptor,ALL,ALL,House Mouse,Gprc5a,99.56,0.391304348,1.352638578,8.39483E-07,10.1621/YjauVBA6hX.1,
1832006,Androgen receptor,ALL,ALL,House Mouse,Arhgef11,99.56,0.391304348,1.23961509,8.39483E-07,10.1621/YjauVBA6hX.1,
1827610,Androgen receptor,ALL,ALL,House Mouse,Fam107a,99.56,0.391304348,1.756831343,8.39483E-07,10.1621/YjauVBA6hX.1,
1820393,Androgen receptor,ALL,ALL,House Mouse,Arrdc2,99.56,0.391304348,1.362258867,8.39483E-07,10.1621/YjauVBA6hX.1,
1815818,Androgen receptor,ALL,ALL,House Mouse,Sdf2l1,99.5,0.333333333,1.425090677,1.16152E-06,10.1621/YjauVBA6hX.1,
1839906,Androgen receptor,ALL,ALL,House Mouse,Smim12,99.5,0.333333333,1.140387474,1.16152E-06,10.1621/YjauVBA6hX.1,
1838209,Androgen receptor,ALL,ALL,House Mouse,Olfml3,99.5,0.333333333,1.241124645,1.16152E-06,10.1621/YjauVBA6hX.1,
1833082,Androgen receptor,ALL,ALL,House Mouse,Mrps35,99.5,0.333333333,1.176622981,1.16152E-06,10.1621/YjauVBA6hX.1,
1833081,Androgen receptor,ALL,ALL,House Mouse,Mtrr,99.5,0.333333333,1.150780966,1.16152E-06,10.1621/YjauVBA6hX.1,
1831172,Androgen receptor,ALL,ALL,House Mouse,Hacd2,99.5,0.333333333,1.232884136,1.16152E-06,10.1621/YjauVBA6hX.1,
1830486,Androgen receptor,ALL,ALL,House Mouse,Aldh1b1,99.5,0.333333333,1.197522658,1.16152E-06,10.1621/YjauVBA6hX.1,
1827363,Androgen receptor,ALL,ALL,House Mouse,Rnf126,99.5,0.333333333,1.226551519,1.16152E-06,10.1621/YjauVBA6hX.1,
1826481,Androgen receptor,ALL,ALL,House Mouse,Selenom,99.5,0.333333333,1.252707836,1.16152E-06,10.1621/YjauVBA6hX.1,
1826334,Androgen receptor,ALL,ALL,House Mouse,Slc40a1,99.5,0.333333333,1.329381244,1.16152E-06,10.1621/YjauVBA6hX.1,
1825450,Androgen receptor,ALL,ALL,House Mouse,Plod2,99.5,0.333333333,1.307956776,1.16152E-06,10.1621/YjauVBA6hX.1,
1823834,Androgen receptor,ALL,ALL,House Mouse,Tspan14,99.5,0.333333333,1.208239729,1.16152E-06,10.1621/YjauVBA6hX.1,
1822982,Androgen receptor,ALL,ALL,House Mouse,Ttc39c,99.5,0.333333333,1.322334647,1.16152E-06,10.1621/YjauVBA6hX.1,
1822006,Androgen receptor,ALL,ALL,House Mouse,Clec10a,99.5,0.333333333,1.285274801,1.16152E-06,10.1621/YjauVBA6hX.1,
1821246,Androgen receptor,ALL,ALL,House Mouse,1810055G02Rik,99.5,0.333333333,1.200736655,1.16152E-06,10.1621/YjauVBA6hX.1,
1821110,Androgen receptor,ALL,ALL,House Mouse,Zfp423,99.5,0.333333333,1.335735026,1.16152E-06,10.1621/YjauVBA6hX.1,
1819441,Androgen receptor,ALL,ALL,House Mouse,Cited4,99.5,0.333333333,1.449858592,1.16152E-06,10.1621/YjauVBA6hX.1,
1819371,Androgen receptor,ALL,ALL,House Mouse,Ing2,99.5,0.333333333,1.169509286,1.16152E-06,10.1621/YjauVBA6hX.1,
1819364,Androgen receptor,ALL,ALL,House Mouse,Chac2,99.5,0.333333333,1.203070387,1.16152E-06,10.1621/YjauVBA6hX.1,
1816831,Androgen receptor,ALL,ALL,House Mouse,Scnn1a,99.5,0.333333333,1.313339415,1.16152E-06,10.1621/YjauVBA6hX.1,
1801933,Androgen receptor,ALL,ALL,House Mouse,Arsa,99.32,0.322580645,1.222724193,1.63735E-06,10.1621/YjauVBA6hX.1,
1828068,Androgen receptor,ALL,ALL,House Mouse,Irs1,99.32,0.322580645,1.233587962,1.63735E-06,10.1621/YjauVBA6hX.1,
1827803,Androgen receptor,ALL,ALL,House Mouse,Clic3,99.32,0.322580645,1.520038863,1.63735E-06,10.1621/YjauVBA6hX.1,
1827746,Androgen receptor,ALL,ALL,House Mouse,Gpc1,99.32,0.322580645,1.258925149,1.63735E-06,10.1621/YjauVBA6hX.1,
1827683,Androgen receptor,ALL,ALL,House Mouse,Samd10,99.32,0.322580645,1.277464626,1.63735E-06,10.1621/YjauVBA6hX.1,
1827063,Androgen receptor,ALL,ALL,House Mouse,Nars,99.32,0.322580645,1.137932675,1.63735E-06,10.1621/YjauVBA6hX.1,
1826307,Androgen receptor,ALL,ALL,House Mouse,Guk1,99.32,0.322580645,1.208285356,1.63735E-06,10.1621/YjauVBA6hX.1,
1826221,Androgen receptor,ALL,ALL,House Mouse,D10Jhu81e,99.32,0.322580645,1.146671261,1.63735E-06,10.1621/YjauVBA6hX.1,
1826217,Androgen receptor,ALL,ALL,House Mouse,Josd2,99.32,0.322580645,1.230369481,1.63735E-06,10.1621/YjauVBA6hX.1,
1825903,Androgen receptor,ALL,ALL,House Mouse,Parp8,99.32,0.322580645,1.226451314,1.63735E-06,10.1621/YjauVBA6hX.1,
1825402,Androgen receptor,ALL,ALL,House Mouse,Irgm2,99.32,0.322580645,1.247506279,1.63735E-06,10.1621/YjauVBA6hX.1,
1825397,Androgen receptor,ALL,ALL,House Mouse,Serpinb9,99.32,0.322580645,1.197139022,1.63735E-06,10.1621/YjauVBA6hX.1,
1825232,Androgen receptor,ALL,ALL,House Mouse,Prom1,99.32,0.322580645,1.441657384,1.63735E-06,10.1621/YjauVBA6hX.1,
1825072,Androgen receptor,ALL,ALL,House Mouse,Gmppb,99.32,0.322580645,1.323683253,1.63735E-06,10.1621/YjauVBA6hX.1,
1824235,Androgen receptor,ALL,ALL,House Mouse,Ppp1r18,99.32,0.322580645,1.161753523,1.63735E-06,10.1621/YjauVBA6hX.1,
1823685,Androgen receptor,ALL,ALL,House Mouse,Il17ra,99.32,0.322580645,1.213271898,1.63735E-06,10.1621/YjauVBA6hX.1,
1823383,Androgen receptor,ALL,ALL,House Mouse,Lcn2,99.32,0.322580645,1.606772432,1.63735E-06,10.1621/YjauVBA6hX.1,
1823249,Androgen receptor,ALL,ALL,House Mouse,Cd68,99.32,0.322580645,1.353562809,1.63735E-06,10.1621/YjauVBA6hX.1,
